transition_id,gvkey,cik,coname,appt_date,classification,predecessor,successor,pred_last_full_fy,succ_first_full_fy
4393,12978,1545158.0,KRAFT FOODS GROUP INC,2014-12-27,external,William Anthony Vernon,John T. Cahill,2013,2015
4705,14225,815556.0,FASTENAL CO,2014-12-31,internal,Willard D. Oberton,"Leland J. Hein, Jr.",2013,2015
7847,65417,1041061.0,YUM BRANDS INC,2014-12-31,internal,David C. Novak,Greg Creed,2013,2015
985,3505,24545.0,MOLSON COORS BREWING CO,2014-12-31,internal,Peter S. Swinburn,Mark Roderick Hunter,2013,2015
8842,157057,1267238.0,ASSURANT INC,2014-12-31,internal,Robert Brian Pollock,Alan B. Colberg,2013,2015
7138,60900,,DISH NETWORK CORP,2015-01-01,internal,"Joseph P. Clayton, CPA",Charles William Ergen,2014,2015
3157,9372,203077.0,ST JUDE MEDICAL INC,2015-01-01,internal,Daniel J. Starks,Michael T. Rousseau,2014,2015
4324,12726,5513.0,UNUM GROUP,2015-01-01,internal,Thomas Ros Watjen,Richard P. McKenney,2014,2015
257,1722,7084.0,ARCHER-DANIELS-MIDLAND CO,2015-01-01,internal,Patricia A. Woertz,Juan R. Luciano,2014,2015
1503,4990,,GAP INC,2015-01-01,internal,"Glenn K. Murphy, B.A., BA",Arthur Peck,2014,2015
8115,114524,1065088.0,EBAY INC,2015-01-01,internal,"John J. Donahoe, II",Devin N. Wenig,2014,2015
9057,165993,1136893.0,FIDELITY NATIONAL INFO SVCS,2015-01-01,internal,"Frank R. Martire, Jr.",Gary A. Norcross,2014,2015
2690,8099,1031296.0,FIRSTENERGY CORP,2015-01-01,internal,Anthony J. Alexander,"Charles E. Jones, Jr.",2014,2015
3839,11264,1618921.0,WALGREENS BOOTS ALLIANCE INC,2015-01-09,external,Gregory David Wasson,Stefano Pessina,2014,2016
2269,7116,63276.0,MATTEL INC,2015-01-25,external,Bryan G. Stockton,Christopher A. Sinclair,2014,2016
2300,7154,63908.0,MCDONALD'S CORP,2015-01-28,internal,Donald Thompson,Stephen J. Easterbrook,2014,2016
