transition_id,cik,coname,classification,succ_total,succ_salary,succ_name_parsed,succ_accession,succ_status,pred_total,pred_salary,pred_name_parsed,pred_accession,pred_status,comp_ratio_succ_over_pred
1881,51143,INTL BUSINESS MACHINES CORP,internal,,,V.M. Rometty(11),0001104659-13-019165,ok,,,S.J. Palmisano(11),0001104659-12-017475,ok,
6682,912615,URBAN OUTFITTERS INC,internal,,,Richard A. Hayne,0001193125-14-126074,ok,,,CEO and President,0001193125-12-145959,ok,
2372,723125,MICRON TECHNOLOGY INC,internal,,,D. Mark Durcan,0000723125-14-000223,ok,,,Chief Executive Officer,0000723125-12-000169,ok,
3407,310764,STRYKER CORP,internal,,,Kevin A. Lobo,0000310764-14-000058,ok,,,Stephen P. MacMillan,0001193125-12-120681,ok,
2399,66740,3M CO,internal,,,Chief Executive Officer,0001047469-14-002977,ok,,,Chief Executive Officer,0001047469-12-003038,ok,
3426,95304,SUNOCO INC,internal,,,,,no-proxy-for-year,,,"L. L. Elsenhans Chairman, Chief Executive Officer and President",0001193125-12-119027,ok,
2784,75829,PALL CORP,external,,,,0001206774-14-003185,ceo-row-not-found,,,,0001206774-12-004519,ceo-row-not-found,
1242,31978,EL PASO ELECTRIC CO,external,,,,0001206774-14-001286,ceo-row-not-found,,,David W. Stevens,0001193125-12-172096,ok,
3697,100885,UNION PACIFIC CORP,internal,,,John J. Koraleski,0001193125-14-125629,ok,,,"James R. Young  Chairman,  President & CEO (f)",0001193125-12-132132,ok,
920,1688568,DXC TECHNOLOGY COMPANY,external,,,,,no-proxy-for-year,,,,,no-proxy-for-year,
6629,1048286,MARRIOTT INTL INC,internal,,,Arne M. Sorenson,0001193125-14-131393,ok,,,"J.W. Marriott, Jr.",0001193125-12-143246,ok,
443,764478,BEST BUY CO INC,external,,,Hubert Joly(5)President and Chief Executive Officer,0000764478-14-000014,ok,,,Brian J. Dunn(6)Former Chief Executive Officer,0000764478-12-000042,ok,
319,8868,AVON PRODUCTS,external,,,Sheri McCoy,0001193125-14-118067,ok,,,Andrea Jung  Chairman & Chief  Executive Officer,0001193125-12-148242,ok,
1977,200406,JOHNSON & JOHNSON,internal,,,Alex Gorsky(1),0001193125-14-094846,ok,,,William C. Weldon,0001193125-12-113826,ok,
8860,1276520,GENWORTH FINANCIAL INC,external,,,Thomas J. McInerney President and Chief Executive Officer,0001193125-14-130782,ok,,,"Michael D. Fraizer Chairman of the Board, President and Chief Executive Officer",0001193125-12-149139,ok,
