transition_id,cik,coname,classification,predecessor,successor,pred_last_full_fy,pred_proxy_year,succ_first_full_fy,succ_proxy_year
7261,1001288,LEXMARK INTL INC -CL A,internal,Paul J. Curlander,Paul A. Rooke,2010,2011,2012,2013
8879,1274057,HOSPIRA INC,external,Christopher B. Begley,F. Michael Ball,2010,2011,2012,2013
8882,1652044,ALPHABET INC,internal,Eric E. Schmidt,Lawrence Edward Page,2010,2011,2012,2013
3519,1018963,ALLEGHENY TECHNOLOGIES INC,internal,L. Patrick Hassey,Richard J. Harshman,2010,2011,2012,2013
7360,1020569,IRON MOUNTAIN INC,internal,Robert T. Brennan,C. Richard Reese,2010,2011,2012,2013
2324,1613103,MEDTRONIC PLC,external,"William A. Hawkins, III, M.B.A.",S. Omar Ishrak,2010,2011,2012,2013
2759,1004980,PG&E CORP,external,Peter A. Darbee,"Anthony F. Earley, Jr.",2010,2011,2012,2013
3284,91576,KEYCORP,internal,"Henry L. Meyer, III",Beth E. Mooney,2010,2011,2012,2013
7974,1050915,QUANTA SERVICES INC,internal,John R. Colson,"James Francis O'Neil, III",2010,2011,2012,2013
8462,1099219,METLIFE INC,internal,Carl Robert Henrikson,Steven Albert Kandarian,2010,2011,2012,2013
478,12659,BLOCK H & R INC,external,Alan Munro Bennett,William C. Cobb,2010,2011,2012,2013
1707,47111,HERSHEY CO,internal,David J. West,John P. Bilbrey,2010,2011,2012,2013
6275,859014,COMPUWARE CORP,internal,"Peter Karmanos, Jr.",Robert C. Paul,2010,2011,2012,2013
2767,1032208,SEMPRA ENERGY,internal,Donald E. Felsinger,Debra Lynn Reed-Klages,2010,2011,2012,2013
2569,814453,NEWELL BRANDS INC,external,Mark D. Ketchum,Michael B. Polk,2010,2011,2012,2013
649,16732,CAMPBELL SOUP CO,internal,Douglas R. Conant,Denise Mullen Morrison,2010,2011,2012,2013
419,732712,VERIZON COMMUNICATIONS INC,internal,Ivan G. Seidenberg,Lowell C. McAdam,2010,2011,2012,2013
7959,1014473,VERISIGN INC,internal,Mark D. McLaughlin,D. James Bidzos,2010,2011,2012,2013
2618,72903,XCEL ENERGY INC,internal,Richard C. Kelly,"Benjamin Gwynn Stonestreet Fowke, III",2010,2011,2012,2013
245,320193,APPLE INC,internal,Steven P. Jobs,Timothy D. Cook,2010,2011,2012,2013
1714,47217,HP INC,external,Leo Apotheker,Margaret Cushing Whitman,2010,2011,2012,2013
5724,874761,AES CORP,internal,Paul T. Hanrahan,"Andres R. Gluski, Ph.D.",2010,2011,2012,2013
413,10795,BECTON DICKINSON & CO,internal,"Edward J. Ludwig, M.B.A.",Vincent A. Forlenza,2010,2011,2012,2013
1497,39899,TEGNA INC,internal,Craig A. Dubow,Gracia Catherine Martore,2010,2011,2012,2013
125,789073,BEAM INC,internal,Bruce A. Carbonari,Matthew John Shattock,2010,2011,2012,2013
6097,885725,BOSTON SCIENTIFIC CORP,internal,J. Raymond Elliott,William H. Kucheman,2010,2011,2012,2013
9131,1274494,FIRST SOLAR INC,external,Robert J. Gillette,James A. Hughes,2010,2011,2012,2013
227,1163739,NABORS INDUSTRIES LTD,internal,Eugene M. Isenberg,Anthony G. Petrello,2010,2011,2012,2013
1801,216228,ITT INC,internal,Steven R. Loranger,Denise L. Ramos,2010,2011,2012,2013
307,8670,AUTOMATIC DATA PROCESSING,internal,Gary C. Butler,Carlos A. Rodriguez,2010,2011,2012,2013
142,4904,AMERICAN ELECTRIC POWER CO,internal,Michael G. Morris,Nicholas K. Akins,2010,2011,2012,2013
2829,922224,PPL CORP,internal,James H. Miller,William H. Spence,2010,2011,2012,2013
3174,754737,SCANA CORP,internal,William B. Timmerman,Kevin B. Marsh,2010,2011,2012,2013
1026,26172,CUMMINS INC,internal,Theodore M. Solso,Norman Thomas Linebarger,2010,2011,2012,2013
2268,63276,MATTEL INC,internal,Robert A. Eckert,Bryan G. Stockton,2010,2011,2012,2013
10467,915912,AVALONBAY COMMUNITIES INC,internal,Bryce F. Blair,Timothy J. Naughton,2010,2011,2012,2013
2172,315852,RANGE RESOURCES CORP,internal,John Howard Pinkerton,Jeffrey L. Ventura,2011,2012,2012,2013
6644,909832,COSTCO WHOLESALE CORP,internal,James D. Sinegal,W. Craig Jelinek,2011,2012,2012,2013
1881,51143,INTL BUSINESS MACHINES CORP,internal,Samuel J. Palmisano,Virginia M. Rometty,2011,2012,2012,2013
